call_id,caller_number,receiver_number,call_start_time,call_end_time,call_duration,call_type,cell_tower_id,call_status,data_usage,call_date,call_hour,weekend_flag
0ed85a9a-c02e-4114-9e53-005d105ee312,(224)559-9284x580,691.340.5406,2025-04-16 09:04:22,2025-04-16 09:43:37,2355,voice,TWR-98365,failed,0.0,2025-04-16,9,0
1b298327-0a7c-4bd2-ac85-c58dd076ca32,473-628-8258,+1-271-300-4687x8884,2025-02-25 06:18:32,2025-02-25 06:45:29,1617,SMS,TWR-31597,completed,0.0,2025-02-25,6,0
dc6f1509-05dc-4810-8363-2e531069d585,+1-201-625-9948x02203,316-721-1430x3511,2025-04-14 01:28:53,2025-04-14 02:10:02,2469,data,TWR-27493,completed,7.313066651536376,2025-04-14,1,0
86875476-8240-47a3-aa2c-dfcd4d7484d0,001-983-452-6218x689,+1-755-297-4365x59460,2025-01-11 20:07:45,2025-01-11 20:29:16,1291,SMS,TWR-26836,completed,0.0,2025-01-11,20,1
31a10e2b-441d-4c63-9bdf-50b444f0d13e,499.353.2859x9324,341.306.5512,2025-02-16 03:54:01,2025-02-16 03:57:03,182,SMS,TWR-59239,completed,0.0,2025-02-16,3,1
01dba153-f4fd-4cac-bbb4-eb87c51d4cef,(740)621-0141x6681,366-593-5332,2025-01-29 07:19:44,2025-01-29 07:56:36,2212,SMS,TWR-06683,completed,0.0,2025-01-29,7,0
396e0677-218a-4a91-b521-976976d54f8c,+1-571-612-7663x794,+1-946-406-1032,2025-01-19 16:31:43,2025-01-19 17:30:08,3505,data,TWR-46631,completed,17.352824487947334,2025-01-19,16,1
24cb629f-344d-47a6-81db-84732bbb61f2,001-397-868-3009x1795,738.798.5392,2025-04-13 00:37:08,2025-04-13 01:25:29,2901,voice,TWR-71494,completed,0.0,2025-04-13,0,1
8b852345-a8c7-4cc3-8349-43dfe58b8b86,542-948-3011,410.670.4943,2025-04-09 19:07:47,2025-04-09 19:30:17,1350,data,TWR-50981,completed,1.4757091037261043,2025-04-09,19,0
26eb38c5-3e4b-479f-a8b2-22c66e8e94e9,359.361.4065x2516,(416)720-2477x799,2025-04-12 20:43:20,2025-04-12 21:11:18,1678,voice,TWR-21712,completed,0.0,2025-04-12,20,1
beb6d551-31c6-4d29-85a9-803b4baa5bc7,266.860.5615,5915357929,2025-01-09 08:44:28,2025-01-09 08:59:57,929,voice,TWR-44444,completed,0.0,2025-01-09,8,0
61bf47ba-5a78-40f4-bb30-7f196d917732,+1-396-861-3595,758.778.8490,2025-05-02 08:53:28,2025-05-02 09:50:07,3399,voice,TWR-96054,completed,0.0,2025-05-02,8,0
61e3b879-e803-4b6c-ad79-2c4fdc987a7f,333.692.2754x8537,367.542.3396,2025-05-12 09:26:30,2025-05-12 09:55:00,1710,voice,TWR-65035,completed,0.0,2025-05-12,9,0
65d779d5-2660-41ae-ba6d-1dd7499e911a,(538)591-5238,826.397.4102,2025-02-21 23:55:30,2025-02-22 00:24:41,1751,SMS,TWR-63777,completed,0.0,2025-02-21,23,0
83705a99-2abb-4855-a856-f8683ce17e24,353-356-7036x47307,001-726-441-4120x8536,2025-03-02 21:35:25,2025-03-02 21:43:18,473,voice,TWR-47639,completed,0.0,2025-03-02,21,1
3e15cd14-4bef-476f-8109-c131ba858964,250-849-3874x03542,360.382.7881,2025-01-24 12:36:08,2025-01-24 12:44:16,488,SMS,TWR-17568,completed,0.0,2025-01-24,12,0
15cb4cb7-ff65-447a-8749-e13292f970c5,001-778-231-8393x11098,(258)322-3754x01239,2025-05-19 04:41:34,2025-05-19 05:16:26,2092,data,TWR-12423,completed,1.8813124567161779,2025-05-19,4,0
f3cf4069-9188-4644-819e-5b30a8f683b3,664-499-3051x67879,570-210-7834,2025-01-06 09:39:57,2025-01-06 10:27:07,2830,data,TWR-41632,completed,6.1138090255870985,2025-01-06,9,0
120add2c-9688-4839-a175-eedda4123e95,+1-736-752-0871x6544,001-247-474-7964x11767,2025-01-11 21:32:40,2025-01-11 22:22:01,2961,voice,TWR-75286,completed,0.0,2025-01-11,21,1
ec76d80c-0fb8-4e65-b122-c28450356c86,+1-934-890-1550x9714,(406)810-2300,2025-01-04 20:03:34,2025-01-04 20:20:29,1015,SMS,TWR-46970,completed,0.0,2025-01-04,20,1
d23df9e5-6df6-4cb9-bef4-5d6d34898183,(636)926-2175x573,(827)341-0387,2025-03-26 03:03:20,2025-03-26 03:14:43,683,voice,TWR-42637,completed,0.0,2025-03-26,3,0
f4a76f09-a17a-4dbe-b13b-af45e8ba70a7,297-585-8682x13200,576.632.8273x278,2025-03-29 08:06:25,2025-03-29 08:52:29,2764,voice,TWR-30982,completed,0.0,2025-03-29,8,1
1d3c4628-2515-454b-a762-a2cea4d5f4fe,+1-406-727-4175,+1-428-372-8428x247,2025-05-11 22:50:30,2025-05-11 22:52:02,92,voice,TWR-70959,completed,0.0,2025-05-11,22,1
e478e3ed-701c-40a5-ace8-7616765a7040,+1-586-245-8014x65234,001-375-789-5035,2025-03-22 23:22:05,2025-03-23 00:12:59,3054,voice,TWR-58744,completed,0.0,2025-03-22,23,1
e50cc7cb-fd94-4318-bd38-8439ce14dd23,408.691.4947,722.645.9216,2025-01-21 12:21:11,2025-01-21 12:21:18,7,voice,TWR-02571,completed,0.0,2025-01-21,12,0
3d826e4a-49a9-4697-bbfc-51655a05fe37,342.548.3802x712,670-629-3487,2025-01-15 18:33:11,2025-01-15 18:56:14,1383,SMS,TWR-56620,completed,0.0,2025-01-15,18,0
172f8b29-e296-424b-85bf-a2a3e685039c,405.668.2369x9529,961-287-1508x845,2025-05-16 23:07:54,2025-05-16 23:09:29,95,SMS,TWR-26540,failed,0.0,2025-05-16,23,0
27c74983-6afe-4bd3-afcd-48dd1665b6ea,+1-620-819-0421x4916,+1-255-370-1369x76456,2025-01-29 13:18:19,2025-01-29 13:53:14,2095,voice,TWR-80576,completed,0.0,2025-01-29,13,0
3a7ac290-13ef-493d-9db4-5970d4fb3195,001-256-324-1656x14673,507-622-5442x92510,2025-03-17 06:25:42,2025-03-17 07:23:38,3476,voice,TWR-60906,completed,0.0,2025-03-17,6,0
f40aef03-532b-4993-824d-73aa6517c12a,2059324340,(764)335-0463x407,2025-02-17 22:38:51,2025-02-17 22:49:31,640,voice,TWR-90639,completed,0.0,2025-02-17,22,0
6ccc7306-35e3-4794-92b2-c614a2191a2f,295.231.9615x712,710.332.5004x10839,2025-01-01 02:48:12,2025-01-01 03:10:28,1336,SMS,TWR-32454,completed,0.0,2025-01-01,2,0
17d863d7-6c9d-478a-adeb-2b135bb8c585,942.960.4131,001-761-286-1420x9091,2025-03-23 18:18:32,2025-03-23 18:41:26,1374,SMS,TWR-36055,completed,0.0,2025-03-23,18,1
78e1d997-83af-4fe2-b6b8-65ee00b6094d,001-456-761-9737x4518,001-965-313-7682x54914,2025-01-04 11:59:56,2025-01-04 12:11:24,688,SMS,TWR-65155,completed,0.0,2025-01-04,11,1
d8893a0c-2ba7-47b4-9593-65ddaae89497,001-600-313-4270x98742,(468)565-7759x5301,2025-03-03 08:06:10,2025-03-03 08:22:51,1001,voice,TWR-84068,completed,0.0,2025-03-03,8,0
765b1674-0262-41a2-ba06-f14004fe618e,2284924726,001-475-831-9404x2461,2025-04-15 20:38:19,2025-04-15 21:21:07,2568,voice,TWR-19630,completed,0.0,2025-04-15,20,0
20329752-b8cc-484b-9240-be2394ef4f04,(454)857-3319,405-360-3712x59808,2025-03-02 09:11:18,2025-03-02 10:05:13,3235,data,TWR-16627,completed,7.505623200478361,2025-03-02,9,1
277db9e3-2eb1-4cad-8ba5-acd143820a80,567.376.2132,4895316028,2025-03-13 02:43:12,2025-03-13 03:37:25,3253,SMS,TWR-51329,completed,0.0,2025-03-13,2,0
fb06efe6-28e3-44f0-999f-1a4437f5ca9d,001-219-698-9894x2670,391.539.5781,2025-03-23 22:48:08,2025-03-23 23:18:34,1826,data,TWR-35742,completed,6.299642167452895,2025-03-23,22,1
3f20f6f6-e2fb-4fce-bd83-22b9281d5f9b,316-529-2621,001-679-863-1524,2025-02-11 20:13:21,2025-02-11 21:00:42,2841,SMS,TWR-81378,completed,0.0,2025-02-11,20,0
da4855b0-bb2d-4f1c-aec2-86cee9ed40e0,935.601.0375x28163,837.802.2797x8933,2025-03-16 11:57:36,2025-03-16 12:34:49,2233,SMS,TWR-20045,completed,0.0,2025-03-16,11,1
8dd0b794-64e9-4038-be92-d3b56054e6b2,(819)669-6876x94322,412.799.3230x08339,2025-04-21 04:32:10,2025-04-21 04:33:38,88,voice,TWR-76748,completed,0.0,2025-04-21,4,0
f3811899-3b86-4cc3-9c7e-a2a980b92f20,4767466846,8722688337,2025-01-14 21:25:48,2025-01-14 21:48:29,1361,voice,TWR-12577,completed,0.0,2025-01-14,21,0
057c42a4-818d-4e62-b4b6-c0a39f2970bc,+1-597-444-1935x4868,465-311-6225x31423,2025-03-05 10:21:34,2025-03-05 10:58:40,2226,data,TWR-11732,completed,5.816324194417122,2025-03-05,10,0
86654d69-bd74-4597-9cab-4df94a284474,+1-990-418-8557x69442,(470)227-3796x87819,2025-01-17 14:28:18,2025-01-17 14:51:03,1365,voice,TWR-57223,completed,0.0,2025-01-17,14,0
2a6af928-74a3-4e60-8c5e-3776199a7237,001-910-330-2813x88339,+1-468-314-7274,2025-05-16 21:05:40,2025-05-16 21:18:12,752,voice,TWR-34416,completed,0.0,2025-05-16,21,0
85ef1add-f174-46e8-a8f1-3d0a9a122f5d,630-216-6710x221,723-975-3524x82297,2025-04-14 07:35:13,2025-04-14 08:11:44,2191,data,TWR-00704,completed,1.2316523079600061,2025-04-14,7,0
a23692ba-829f-4ea9-8649-508c8d4c2f71,(603)907-8880,+1-869-754-5887x38501,2025-04-28 02:18:00,2025-04-28 03:12:19,3259,data,TWR-08613,completed,1.3015238158896252,2025-04-28,2,0
b83076a9-5b2e-4716-b74d-aa560ef5350d,629.744.5419x08353,395-350-7176x428,2025-05-10 23:03:41,2025-05-10 23:08:18,277,data,TWR-60378,completed,0.37689893848736494,2025-05-10,23,1
bd0450d7-acdd-437a-be9b-561999db267f,378-265-2005x60124,001-403-200-3218x0185,2025-03-16 16:10:59,2025-03-16 16:49:52,2333,voice,TWR-41266,completed,0.0,2025-03-16,16,1
7c4ee734-99a7-4e28-a2bc-7f1ccd02be05,755.406.6680,+1-694-273-1501x263,2025-04-25 02:11:31,2025-04-25 02:45:11,2020,voice,TWR-68776,completed,0.0,2025-04-25,2,0
b960d620-513e-4bb7-a05a-8369bf1b7d44,+1-452-982-2436x92828,(788)833-6871x144,2025-03-24 07:54:20,2025-03-24 08:40:01,2741,data,TWR-59699,completed,2.1365810530254454,2025-03-24,7,0
a06ec458-5031-4023-89f1-5998d830c0db,001-464-811-4396x1503,+1-560-935-0023x956,2025-01-27 01:56:24,2025-01-27 02:52:10,3346,voice,TWR-89428,completed,0.0,2025-01-27,1,0
83910e04-040e-4ed7-9fab-a289ef4c30e2,4225860752,240-439-0532x3599,2025-01-28 00:20:34,2025-01-28 00:26:43,369,SMS,TWR-49857,failed,0.0,2025-01-28,0,0
8100a290-6fcd-4ee8-85f5-a11faf0c4c47,+1-849-280-9870x516,+1-278-822-1063x4773,2025-04-11 04:09:29,2025-04-11 04:27:12,1063,SMS,TWR-71176,completed,0.0,2025-04-11,4,0
f8642681-e19f-4248-ad6e-5f22141d3882,(897)843-4267x0157,587.476.8721,2025-04-17 06:40:12,2025-04-17 07:27:54,2862,SMS,TWR-41950,completed,0.0,2025-04-17,6,0
6471435a-709e-450c-b5ab-01d92f76ddeb,(722)823-0588,429-336-9594,2025-02-16 21:35:44,2025-02-16 21:50:52,908,voice,TWR-88073,completed,0.0,2025-02-16,21,1
247cc9a4-7db8-4682-b29b-6511c0d0e141,(259)928-1781,256.241.4637x67514,2025-04-05 14:20:10,2025-04-05 14:42:45,1355,voice,TWR-27695,completed,0.0,2025-04-05,14,1
b97e9f8b-d125-4977-a8c4-7892cf559c15,+1-288-744-9460x89700,737.469.3850x7782,2025-03-20 09:14:00,2025-03-20 10:10:33,3393,voice,TWR-32323,completed,0.0,2025-03-20,9,0
88237572-865b-4c76-b569-36e6dae6d092,001-416-321-6935x440,335-946-9281x55627,2025-04-08 04:10:12,2025-04-08 04:11:52,100,data,TWR-36493,failed,9.273990427498159,2025-04-08,4,0
48f3160c-a767-4372-862b-4ddae53ae1a0,818.208.4137,+1-249-663-6496x41494,2025-03-09 07:44:31,2025-03-09 07:52:21,470,SMS,TWR-18246,completed,0.0,2025-03-09,7,1
9bc62f82-073f-478a-826a-b59fe48b926a,+1-550-961-0129x696,001-487-417-7968,2025-04-20 16:41:32,2025-04-20 17:37:01,3329,SMS,TWR-60905,completed,0.0,2025-04-20,16,1
5db7113b-811e-4f2d-9d1e-d20bd902562d,+1-317-657-2509,001-346-494-8416x6973,2025-01-18 03:37:38,2025-01-18 03:51:37,839,voice,TWR-78640,completed,0.0,2025-01-18,3,1
b918d1f9-7f28-4cd6-86e8-2c4b98f59311,001-681-281-1402x2800,(883)435-3110,2025-01-18 17:57:28,2025-01-18 18:35:03,2255,voice,TWR-71383,completed,0.0,2025-01-18,17,1
9d6a147c-672c-4e72-8053-c03f6e4c92fd,(250)461-9088,401.689.1622x59031,2025-02-08 05:52:55,2025-02-08 06:06:00,785,voice,TWR-20714,completed,0.0,2025-02-08,5,1
1f92a5ff-2b3d-41f2-83a1-556ebc9349bb,3722034214,+1-708-923-0424x9865,2025-05-07 23:19:41,2025-05-07 23:25:13,332,voice,TWR-07590,completed,0.0,2025-05-07,23,0
82d3af6f-c18b-4b01-8345-b1cb6ead4124,928.969.4868x538,724.924.6741x726,2025-02-23 01:46:02,2025-02-23 02:44:29,3507,SMS,TWR-07566,completed,0.0,2025-02-23,1,1
d409aca1-12e6-49ba-a2c6-ef86a3076ed1,001-690-760-8736x830,(916)742-9855x98574,2025-02-24 01:30:58,2025-02-24 02:02:35,1897,voice,TWR-03400,completed,0.0,2025-02-24,1,0
ca1255ff-a353-4dfb-a875-6f00d63b7d03,(587)749-9325x5749,438-517-3727x0683,2025-04-12 08:51:57,2025-04-12 09:02:25,628,SMS,TWR-13264,completed,0.0,2025-04-12,8,1
1ff195b8-6ef7-4bb0-a729-58b422e0e1c4,881-543-7804x8181,(596)856-3761x2445,2025-05-21 01:23:24,2025-05-21 01:47:16,1432,voice,TWR-55106,completed,0.0,2025-05-21,1,0
2e8cd5bd-aab3-4dc8-aa57-23a4c7a2c8aa,001-550-904-3408x26003,(539)513-0982x14654,2025-05-21 23:52:02,2025-05-22 00:17:16,1514,voice,TWR-49893,completed,0.0,2025-05-21,23,0
4a961f45-130d-4fe0-baed-089a03ba827d,588-568-2992,(418)660-4173x93848,2025-02-03 06:39:01,2025-02-03 07:05:39,1598,SMS,TWR-75491,completed,0.0,2025-02-03,6,0
06d79f5d-7427-45af-bb95-f7e9a2b54ef3,221-594-4644x026,442-609-2895x829,2025-02-20 05:03:23,2025-02-20 05:16:42,799,voice,TWR-50705,completed,0.0,2025-02-20,5,0
db9777b2-7ed6-488e-bb32-db70610dac29,773-568-9150x441,001-640-646-4151x39807,2025-05-01 15:16:28,2025-05-01 15:35:00,1112,data,TWR-27544,completed,13.183530936144201,2025-05-01,15,0
4636aa1d-10b0-482f-b69d-96f8b746b5c7,(497)974-7425x34671,207.963.2783x9194,2025-01-04 01:39:24,2025-01-04 02:06:34,1630,voice,TWR-80598,completed,0.0,2025-01-04,1,1
fb17b10f-2a76-4646-9cfc-87216e5b0f61,921.241.1294,6753796791,2025-01-05 19:37:27,2025-01-05 20:27:45,3018,voice,TWR-04095,completed,0.0,2025-01-05,19,1
09e1b222-ce47-4097-8fe7-5fff08ed637c,324.927.7239,(296)309-3278x7615,2025-05-06 13:22:05,2025-05-06 14:12:12,3007,SMS,TWR-25141,completed,0.0,2025-05-06,13,0
0de111f1-8663-4b1d-bf3c-15f531f18b18,259.237.8223,218.947.6047,2025-02-14 12:45:56,2025-02-14 12:49:23,207,voice,TWR-69373,completed,0.0,2025-02-14,12,0
426d28ba-5442-4855-9d95-384c2085c400,(767)518-7082,(351)761-5454,2025-03-06 01:43:01,2025-03-06 02:09:25,1584,voice,TWR-32180,completed,0.0,2025-03-06,1,0
f4fa7dfe-78bc-46a8-8d9d-861b02379c20,(652)998-3686x802,8115823368,2025-04-20 19:20:18,2025-04-20 20:03:14,2576,voice,TWR-48376,completed,0.0,2025-04-20,19,1
8d5bea76-63b4-48b8-8536-a2da031a382b,(557)621-4349x8967,963.564.6225,2025-05-18 18:19:45,2025-05-18 19:00:51,2466,data,TWR-80556,completed,0.30644978015143887,2025-05-18,18,1
9b32e704-0c5c-4b19-89d5-5e2fb35eb791,555.700.9625x55727,+1-884-825-5394x641,2025-04-29 13:36:15,2025-04-29 14:00:51,1476,voice,TWR-06858,completed,0.0,2025-04-29,13,0
7162da04-8860-4b91-923b-d0547a9d9c9b,520.500.3426,+1-626-334-9412x105,2025-02-22 21:59:49,2025-02-22 22:09:37,588,voice,TWR-93615,completed,0.0,2025-02-22,21,1
1a276a5b-964c-4003-8c1e-869f94c7d604,001-315-481-6393,(596)385-4789x154,2025-01-04 14:24:23,2025-01-04 14:38:48,865,voice,TWR-86429,completed,0.0,2025-01-04,14,1
f9f794d2-8b6e-4f78-a44c-451998d3b141,+1-891-404-8950,990.447.5170x2172,2025-01-06 13:41:15,2025-01-06 13:56:27,912,SMS,TWR-22782,completed,0.0,2025-01-06,13,0
512e0f9a-ffaa-46c8-a64a-a66fc19a354f,001-355-820-4637x0097,371-529-2184,2025-01-21 04:55:50,2025-01-21 05:06:16,626,data,TWR-16462,completed,5.858098922117463,2025-01-21,4,0
f28169d7-83b1-4649-9f34-4ea07e7edb3b,952.807.4033x00415,+1-327-682-5321x181,2025-04-20 21:11:55,2025-04-20 22:08:50,3415,voice,TWR-32259,completed,0.0,2025-04-20,21,1
b9e87915-dd5f-4bcb-bb2a-4eb2d63df8c9,5196923666,(971)519-8763x6920,2025-03-06 22:59:15,2025-03-06 23:20:35,1280,voice,TWR-43904,completed,0.0,2025-03-06,22,0
8d18c781-d884-48a2-b7ae-67cfbe1a8763,5969593175,919-237-5043x579,2025-04-19 02:13:25,2025-04-19 02:46:16,1971,data,TWR-79155,completed,19.800784367626008,2025-04-19,2,1
fefb0c7c-125f-4547-892d-135be1bbfff8,380.349.5330x848,621-419-3592x00379,2025-03-15 14:09:53,2025-03-15 15:08:10,3497,data,TWR-37894,completed,14.985819853996482,2025-03-15,14,1
25fbdb41-0783-41d7-9bc1-037dbe378143,001-263-891-7264,+1-615-653-8647x26805,2025-03-09 00:16:32,2025-03-09 00:24:31,479,voice,TWR-50186,completed,0.0,2025-03-09,0,1
ef3795bd-7536-4a31-96a8-9294488d653a,781.283.3382x577,(370)453-9914,2025-03-30 17:13:51,2025-03-30 18:11:18,3447,SMS,TWR-73985,failed,0.0,2025-03-30,17,1
c99c88a2-a9a6-444c-87c7-f4406f1e2316,(272)414-4096x7256,+1-711-856-2999x23829,2025-03-10 16:19:44,2025-03-10 16:27:14,450,SMS,TWR-21249,completed,0.0,2025-03-10,16,0
2ec4e3b3-7e5e-44f2-87e2-9cc96cd63751,001-789-248-6443x5481,+1-446-760-0134x18204,2025-01-05 06:20:31,2025-01-05 06:23:41,190,voice,TWR-31353,completed,0.0,2025-01-05,6,1
f8807b8b-bca5-404a-aebb-647d74d60514,(766)571-7660,895.798.4680,2025-04-21 13:53:50,2025-04-21 14:32:32,2322,SMS,TWR-07328,completed,0.0,2025-04-21,13,0
0b3578f7-0511-4ebe-9e9d-444d699a428e,995-907-2402x67458,298.460.6896x265,2025-03-14 21:48:46,2025-03-14 21:53:31,285,voice,TWR-29801,completed,0.0,2025-03-14,21,0
d977d2c1-4015-45b2-b1c9-6328b43a07ef,001-984-227-8913x0233,318-626-1356x6574,2025-03-10 03:40:08,2025-03-10 03:50:16,608,voice,TWR-97085,completed,0.0,2025-03-10,3,0
57ca1a35-b0e6-4fbc-bac5-cc530490e74d,(877)697-0011,3109707009,2025-03-09 17:56:04,2025-03-09 18:36:33,2429,voice,TWR-28479,completed,0.0,2025-03-09,17,1
bb021a7c-0bb2-4864-87e1-592e9ade31d2,(594)611-3658x759,515-729-7249x14544,2025-02-09 21:31:25,2025-02-09 21:48:44,1039,SMS,TWR-62187,completed,0.0,2025-02-09,21,1
37caaba7-de43-47af-8020-dd22418e3dec,+1-207-942-2270x307,578.945.7130x549,2025-02-07 13:52:18,2025-02-07 13:59:29,431,voice,TWR-17505,completed,0.0,2025-02-07,13,0
bd7b36a7-06ab-4aaf-b76e-c3f903ca8d35,(673)679-4664,+1-242-711-1523x39488,2025-04-25 17:45:13,2025-04-25 18:20:56,2143,SMS,TWR-17616,completed,0.0,2025-04-25,17,0
55ed0f73-ec18-4caf-bb6d-a47d0f1fb0f9,974.300.0002x76092,670-262-3283x04388,2025-01-19 04:35:09,2025-01-19 04:40:16,307,voice,TWR-98699,completed,0.0,2025-01-19,4,1
74b0b3dc-a270-488d-b171-5d36268c7680,001-948-555-4551x83398,+1-221-268-1899x1701,2025-04-13 01:13:48,2025-04-13 01:23:11,563,voice,TWR-87874,failed,0.0,2025-04-13,1,1
d8f6b152-d5d7-4857-b9d5-7557ee883861,+1-650-281-4663x39812,380-603-6263x5171,2025-01-26 19:26:26,2025-01-26 19:58:32,1926,voice,TWR-28854,completed,0.0,2025-01-26,19,1
70426cb1-1f5b-4a75-9605-9686254c9294,(214)593-2221x7167,+1-345-833-7910x63267,2025-02-08 14:55:24,2025-02-08 15:33:03,2259,SMS,TWR-54498,completed,0.0,2025-02-08,14,1
